Movie Name,Genre,Rating,Voting Counts,Duration
"100. Die Heinzels: Neue Mützen, Neue Mission",Animation,6.0,116,1h 16m
101. Kvitebjørn,Animation,5.8,93,1h 25m
102. Into the Mortal World,Animation,7.1,258,1h 58m
103. Boonie Bears: Time Twist,Animation,5.9,186,1h 45m
104. My Redneck Neighbor: Chapter 2 - Let the Games Begin,Animation,5.7,11,55m
105. Elli and Her Monster Team,Animation,4.8,118,1h 26m
106. Dongeng Sang Kancil,Animation,6.6,234,1h 39m
107. Inanimate Insanity II: The Movie,Animation,8.3,269,1h 46m
108. The Lost Tiger,Animation,7.3,65,1h 30m
109. Emma's Big Adventure,Animation,5.3,149,1h 46m
110. The Casagrandes Movie,Animation,5.6,716,1h 29m
111. Given the Movie: Hiiragi Mix,Animation,7.6,289,1h 10m
112. SuperKlaus,Animation,4.3,219,1h 28m
113. Niko: Beyond the Northern Lights,Animation,6.1,370,1h 26m
114. Isla Monstro,Animation,7.2,13,N/A
115. Among Neighbors,Animation,9.6,54,1h 40m
116. The Proud Princess,Animation,6.3,162,1h 24m
117. Living Large,Animation,6.9,198,1h 20m
118. Peppa's Cinema Party,Animation,4.9,159,1h 5m
119. Kizumonogatari: Koyomi Vamp,Animation,7.1,124,2h 24m
120. Sabbath Queen,Animation,7.9,71,1h 45m
121. God with Three Eyes,Animation,5.7,33,1h 52m
122. Fureru,Animation,6.1,75,1h 47m
123. Taisu Xilie,Animation,N/A,N/A,1h 40m
124. The Big Trip 3: Race Around the World,Animation,5.5,83,1h 25m
125. Cille 2069,Animation,5.5,104,N/A
126. Appu,Animation,8.2,203,1h 32m
127. Terra Incognita 1901,Animation,5.2,72,1h 18m
128. DreadClub: Vampire's Verdict,Animation,5.0,80,1h 28m
129. Shrek 5: The Contract - A Fan Made Film,Animation,7.3,26,1h 24m
130. The Storm,Animation,6.1,148,1h 42m
131. Benjamin Bat,Animation,7.9,34,1h 15m
132. Fox & Hare Save the Forest,Animation,5.9,232,1h 11m
133. Quo Vadis,Animation,7.6,807,1h 30m
134. Transformers Prime: Galavatron's Revenge,Animation,4.7,21,1h 44m
"135. Maya, donne-moi un titre",Animation,6.4,74,1h 1m
136. Mariposas Negras,Animation,7.0,80,1h 23m
137. Slocum et moi,Animation,7.1,106,1h 15m
138. Where the Robots Grow,Animation,2.6,541,1h 28m
139. Marvel's Civil War Full Comic Dub Movie,Animation,N/A,N/A,1h 15m
140. Schirkoa: In Lies We Trust,Animation,5.5,175,1h 43m
141. Tobias and the Arcane Merchant,Animation,8.9,50,2h 47m
142. TWST: Things We Said Today,Animation,7.0,70,1h 26m
143. Heartsping : Teenieping of Love,Animation,7.3,34,N/A
144. Kid Santa,Animation,N/A,N/A,N/A
145. Mochi-chon,Animation,7.8,12,N/A
146. Askepote,Animation,3.4,90,1h 12m
147. Ugly Sweater,Animation,5.9,21,1h 20m
"148. Ado SPECIAL LIVE ""Shinzou"" in Cinema",Animation,9.0,59,2h 20m
149. Dragon Ball Z Kai,Animation,8.5,99,1h 22m
150. A Few Moments of Cheers,Animation,7.1,65,1h 8m
151. Monkey King: The Beginning,Animation,7.1,8,N/A
152. Rock Bottom,Animation,6.3,72,1h 26m
153. Becho,Animation,7.3,12,N/A
"154. Silex and the City, le film",Animation,4.9,60,1h 17m
155. Detective Conan vs. Kid the Phantom Thief,Animation,6.1,176,1h 21m
156. Inventors,Animation,N/A,N/A,N/A
157. The Formula for Water,Animation,4.6,39,1h 26m
158. Zak & Wowo: The Legend of Lendarys,Animation,5.7,106,1h 25m
159. Jin Ling Yu Mao,Animation,5.5,32,1h 37m
160. Ganbatte Ikimasshoi,Animation,5.6,19,1h 35m
161. Fuuto PI: Portrait of Kamen Rider Skull,Animation,7.4,57,1h 22m
162. Bocchi the Rock! Recap Part 1,Animation,7.5,217,1h 30m
163. Spider-Man: Blue,Animation,5.8,12,N/A
164. Woolina and the No Birds,Animation,8.2,53,1h 20m
165. Pui Pui Molcar the Movie: Molmax,Animation,6.3,21,1h 9m
