Movie Name,Genre,Rating,Voting Counts,Duration
105. Justice League: Crisis on Infinite Earths - Part Two,Adventure,5.6,5900,1h 34m
106. The Price of Money: A Largo Winch Adventure,Adventure,5.1,1400,1h 40m
107. Golden Kamuy,Adventure,6.3,2700,2h 7m
108. Big City Greens the Movie: Spacecation,Adventure,6.2,623,1h 23m
109. Empire Queen: The Golden Age of Magic,Adventure,3.3,310,2h 28m
110. Gracie and Pedro: Pets to the Rescue,Adventure,5.0,301,1h 27m
111. Anaconda,Adventure,4.9,700,1h 24m
112. My Freaky Family,Adventure,6.1,439,1h 26m
113. Rocky Road to Berlin,Adventure,7.2,1500,1h 44m
114. The Twisters,Adventure,2.6,482,1h 26m
115. Bureau 749,Adventure,3.9,595,2h 3m
116. The Empire,Adventure,5.2,1400,1h 50m
117. The Firing Squad,Adventure,5.0,5100,1h 33m
118. The Kingdom,Adventure,7.0,160,2h 13m
119. Diplodocus,Adventure,6.2,218,1h 33m
120. Devil's Knight,Adventure,5.3,1000,1h 30m
121. My Oni Girl,Adventure,6.0,2000,1h 52m
122. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Adventure,7.0,59,1h 30m
123. Storm Crashers,Adventure,6.1,608,1h 28m
124. Bade Miyan Chote Miyan,Adventure,3.8,40000,2h 43m
125. Five Friends,Adventure,6.7,1000,1h 52m
126. Its Name Was Mormo,Adventure,3.7,198,1h 33m
127. Sam and Colby: The Legends of the Paranormal,Adventure,4.8,321,1h 38m
128. Lumina,Adventure,2.2,726,1h 53m
129. My Fathers' Daughter,Adventure,6.4,89,1h 18m
130. Planetquake,Adventure,3.0,333,1h 25m
131. Angels Fallen: Warriors of Peace,Adventure,4.8,6500,1h 43m
132. Thelma the Unicorn,Adventure,5.7,3100,1h 33m
133. Kanguva,Adventure,4.5,15000,2h 32m
134. The Slave and the Sorcerer,Adventure,6.5,49,1h 26m
135. Thangalaan,Adventure,6.5,6900,2h 36m
136. Ayalaan,Adventure,5.9,4100,2h 35m
137. The Tiger's Apprentice,Adventure,5.8,2300,1h 24m
138. Woody Woodpecker Goes to Camp,Adventure,4.5,2700,1h 40m
139. 200% Wolf,Adventure,5.9,1400,1h 38m
140. Captain Miller,Adventure,7.2,14000,2h 37m
141. Operation Blood Hunt,Adventure,3.4,547,1h 33m
142. Sixty Minutes,Adventure,5.7,5400,1h 28m
143. Seven Seas Seven Hills,Adventure,8.6,102,1h 30m
144. A Sloth Story,Adventure,5.6,290,1h 30m
145. Unspeakable: Beyond the Wall of Sleep,Adventure,3.9,148,1h 30m
146. Witch Hunter,Adventure,4.0,49,1h 20m
147. Earthquake Underground,Adventure,3.2,237,1h 23m
148. War of the Worlds: Extinction,Adventure,3.1,231,1h 24m
149. Si Juki the Movie: Harta Pulau Monyet,Adventure,6.1,145,1h 47m
150. No Time to Spy: A Loud House Movie,Adventure,6.4,527,1h 21m
151. Meanwhile on Earth,Adventure,5.9,1100,1h 29m
152. Son's Will,Adventure,7.4,1100,2h 28m
153. Panda Bear in Africa,Adventure,5.5,396,1h 24m
154. Rebellious,Adventure,6.1,252,1h 34m
155. Spiders on a Plane,Adventure,3.9,502,1h 18m
156. 76 Days Adrift,Adventure,N/A,N/A,1h 45m
157. Dalia and the Red Book,Adventure,5.9,179,1h 47m
158. Bionic,Adventure,4.3,1800,1h 50m
